dim	coefficient
0	-0.02709093999367802
1	-0.061613169324684094
2	-0.07937081408574051
3	-0.08433288924293578
4	-0.031175956643418684
5	-0.053751348656510704
6	-0.0006993775071274383
7	0.018297582767129228
8	-0.054187174337711266
9	-0.052351767431821516
10	-0.06798478379251459
11	-0.07295605283639667
12	-0.08308238822606695
13	0.004071026500674535
14	0.03775423723104611
15	-0.05774742507131633
16	-0.11340925333439292
17	-0.04879233611734564
18	-0.09810623396049627
19	-0.029362512554188216
20	-0.07420001845139985
21	0.04057699113038843
22	-0.05228273011414948
23	-0.055705166728318545
24	-0.09799335665227919
25	-0.04449029499338264
26	0.059401245818960946
27	-0.10880212677720495
28	-0.12866978948885355
29	-0.06153704103195026
30	0.01850664275337774
31	-0.03613758809612502
32	-0.10209907639485738
33	-0.17605868786964093
34	-0.1558191496738751
35	-0.05466338822986347
36	-0.10467646748521305
37	-0.0010025273556582802
38	-0.01206001856576305
39	-0.02376430820888089
40	-0.08394614719471925
41	-0.07382291785501267
42	-0.034776793339072784
43	-0.15664215631144615
44	-0.0811213141605519
45	-0.1592457475836365
46	-0.049066911265064704
47	-0.024651050420882184
48	-0.0013583773000285376
49	-0.17670540264823723
50	-0.0056466959428159505
51	-0.11447537797924345
52	-0.09280671277723931
53	-0.11283449642885651
54	-0.10022225065043035
55	-0.10821476633507472
56	-0.07996315979191307
57	-0.07523382972973688
58	-0.07388218367343918
59	-0.08486579169760614
60	-0.0764469217720492
61	-0.047695368347840786
62	-0.050354214798849786
63	-0.024561179969207682
64	-0.12206846434183649
65	-0.10706103109588684
66	-0.1679211750033056
67	-0.04312284997740967
68	-0.05918526890455045
69	-0.08485176825213131
70	-0.06931216784089189
71	-0.13942481852627392
72	0.014961360021186162
73	-0.058655544592815426
74	0.0597519746210155
75	-0.08821993830057549
76	-0.11382240101828657
77	-0.046522596511995626
78	0.0009836591485597387
79	-0.07548478455402079
80	-0.08567786086826944
81	-0.1951521839075523
82	-0.13719188007100425
83	-0.13712866916073918
84	-0.034080650515437655
85	-0.022703853837301807
86	-0.11404329703767638
87	-0.03257635567007925
88	-0.026770948032552887
89	-0.04270786278132017
90	-0.030848651416335138
91	0.013380788446254378
92	-0.07690493466553103
93	0.009913761171751037
94	-0.04547636414830553
95	-0.01788476102614399
96	-0.1865479966308571
97	-0.0538543389024137
98	-0.0661152566517175
99	-0.13009526268686236
100	-0.012365705705214346
